,Eigenvector Centrality
Rv2552c,0.00014319100819233045
Rv2564,2.1586111597804418e-11
Rv2573,0.0016214197940779451
Rv2581c,4.472642724572705e-06
Rv2583c,0.00014828637669183294
Rv2584c,7.338961949955758e-05
Rv2589,0.00019405144384289241
Rv2590,0.0002250216512470597
Rv2601,2.1586111597804418e-11
Rv2604c,0.0009837455763874504
Rv2605c,0.00010416397903750857
Rv2606c,0.0009837455763874504
Rv2607,7.591763840202464e-06
Rv2610c,0.0833055006832936
Rv2611c,0.010596349808372606
Rv2612c,0.0833055006832936
Rv2641,4.472642724572705e-06
Rv2671,0.07153699424449081
Rv2673,0.06875107553839312
Rv2674,4.309354338469421e-05
Rv2677c,0.0789591021758898
Rv2678c,0.07898492815624202
Rv2679,0.0002546375805692461
Rv2682c,1.6226225449653714e-05
Rv2691,1.976821846561204e-07
Rv2692,1.976821846561204e-07
Rv2697c,2.9648542889745526e-05
Rv2701c,0.0043353230123702406
Rv2702,6.64707800895271e-06
Rv2713,7.898287359442882e-07
Rv2724c,0.0002546375805692461
Rv2726c,0.00029381170659310775
Rv2740,2.1586111597804418e-11
Rv2746c,0.08451892764617465
Rv2747,1.314049387952835e-09
Rv2753c,0.000293811515954168
Rv2754c,0.0059037378571043415
Rv2763c,0.006240116466617985
Rv2764c,0.005096348604714422
Rv2773c,0.000293811515954168
Rv2780,0.00015689898985458712
Rv2781c,5.115993962834579e-06
Rv2786c,0.08306378245664263
Rv2789c,0.0002546375805692461
Rv2793c,8.910823038182769e-06
Rv2831,0.0002546375805692461
Rv2832c,5.647252283944766e-10
Rv2833c,5.647252283944766e-10
Rv2834c,5.647252283944766e-10
Rv2835c,5.647252283944766e-10
Rv2847c,0.07040347653113933
Rv2848c,7.57621563420068e-10
Rv2849c,6.852634329656563e-09
Rv2850c,2.1586111597804418e-11
Rv2855,1.3923497867483366e-06
Rv2856,2.1586111597804418e-11
Rv2858c,0.000114759867849791
Rv2860c,8.73138519879883e-06
Rv2868c,8.478703547658205e-05
Rv2870c,1.8027224983830755e-05
Rv2881c,0.0002038758767997344
Rv2883c,5.87565877121046e-06
Rv2888c,2.1586111597804418e-11
Rv2895c,0.0055242032145695385
Rv2899c,9.38339154409587e-05
Rv2900c,9.38339154409587e-05
Rv2911,4.3072923802110916e-05
Rv2920c,9.094391002095508e-06
Rv2922A,8.261719896744831e-06
Rv2928,0.0008660994257558624
Rv2930,0.0002250216512470597
Rv2931,0.0008660994257558624
Rv2932,0.0008660994257558624
Rv2933,0.0008660994257558624
Rv2934,0.0008660994257558624
Rv2935,0.0008660994257558624
Rv2936,0.0008666359787214789
Rv2937,0.0008666359787214789
Rv2938,0.0008666359787214789
Rv2939,0.0008666359787214788
Rv2940c,0.0845284097152361
Rv2941,0.0008666359787214788
Rv2942,0.0008666359787214789
Rv2945c,0.0008666359787214789
Rv2947c,0.045658666682775836
Rv2948c,0.0002250216512470597
Rv2949c,2.3548213961869037e-05
Rv2950c,0.0002250216512470597
Rv2951c,0.0008666359787214788
Rv2952,0.0008666359787214788
Rv2957,1.3940834776347633e-09
Rv2958c,1.3940834776347633e-09
Rv2959c,2.1586111597804418e-11
Rv2962c,2.1586111597804418e-11
Rv2964,3.543507458745173e-05
Rv2965c,0.0016214161118226972
Rv2967c,1.946936663209921e-05
Rv2970c,2.1586111597804418e-11
Rv2977c,0.0002454633647071916
Rv2981c,3.65717111386803e-05
Rv2982c,2.2245418409567527e-06
Rv2984,3.300467731280776e-07
Rv2987c,0.0006100149636280085
Rv2988c,0.0006100149636280085
Rv2995c,0.0006104139938113732
Rv2996c,4.936495942015223e-06
Rv3001c,3.74135872062409e-05
Rv3002c,3.74135872062409e-05
Rv3003c,3.74135872062409e-05
Rv3010c,4.335842358038459e-05
Rv3025c,0.0789590902868838
Rv3028c,0.07040347653113933
Rv3029c,0.07040347653113933
Rv3031,4.342423718111515e-05
Rv3032,8.88712734014635e-06
Rv3039c,0.0002546375805692461
Rv3042c,7.488688915520597e-06
Rv3043c,0.07040347653113933
Rv3045,1.11196357641833e-05
Rv3048c,0.08392504253361745
Rv3051c,0.08392504253361745
Rv3061c,0.0002546375805692461
Rv3068c,1.0718351172076168e-05
Rv3075c,3.1436622357440257e-06
Rv3084,2.1586111597804418e-11
Rv3086,1.11196357641833e-05
Rv3087,2.1586111597804418e-11
Rv3088,2.1586111597804418e-11
Rv3089,0.0002250216512470597
Rv3097c,4.539352755762169e-10
Rv3106,1.9443130458107697e-06
Rv3109,2.1586111597804418e-11
Rv3111,2.1586111597804418e-11
Rv3113,0.0002459315095431647
Rv3116,2.1586111597804418e-11
Rv3119,2.1586111597804418e-11
Rv3130c,2.1586111597804418e-11
Rv3139,0.0002546375805692461
Rv3140,0.0002546375805692461
